InstructorID,FirstName,LastName,Department,Rank,Email
I0105,منصور,المشاولة,كلية التربية,أستاذ,jmyllshy@example.com
I0106,جوين,آل علي,كلية الصيدلة,أستاذ مساعد,nal-ly@example.net
I0107,ساجي,حجار,كلية الصيدلة,محاضر,srrlmhydb@example.com
I0108,سامي,العجلان,كلية الصيدلة,أستاذ مساعد,jwn12@example.net
I0109,ودود,كانو,كلية الزراعة,أستاذ,blrshd@example.org
I0110,ثابت,آل عايض,كلية الهندسة,أستاذ مساعد,dal-bn-zfr@example.org
I0111,كافور,الخرافي,كلية الزراعة,أستاذ,kshf77@example.net
I0112,لانا,آل الشيخ,كلية الهندسة,أستاذ,oal-sltn@example.net
I0113,طائع,الخرافي,كلية الزراعة,أستاذ مساعد,tyl04@example.org
I0114,وفائي,حجار,كلية الهندسة,محاضر,bd-lgfwr42@example.net
I0115,راتب,العجلان,كلية التربية,أستاذ,tyflmgwl@example.org
I0116,عبد الحفيظ,آل محمد بن علي بن جماز,كلية الزراعة,أستاذ,hmdnlmshwl@example.net
I0117,حاتم,آل حسين,كلية الزراعة,أستاذ,dwwb53@example.com
I0118,شدّاد,حجار,كلية الصيدلة,أستاذ مساعد,rf48@example.net
I0119,حيّان,الحجار,كلية الصيدلة,أستاذ مساعد,nymal-sfwn@example.org
I0120,باسمة,آل معيض,كلية الصيدلة,أستاذ مساعد,mnybbw-dwwd@example.net
I0121,ريّان,مهنا,كلية الهندسة,محاضر,fmhn@example.net
I0122,شعبان,بقشان,كلية التربية,محاضر,al-swdtmh@example.org
I0123,عبد المحيي,آل محمد بن علي بن جماز,كلية الزراعة,أستاذ,dhry80@example.net
I0124,رؤوف,العجلان,كلية التربية,أستاذ مساعد,wlyflqyl@example.net
I0125,طيّب,آل علي,كلية الزراعة,محاضر,qal-lshykh@example.com
I0126,حافظ,المهيدب,كلية الزراعة,محاضر,qsydal-sfwn@example.org
I0127,ظبي,فصيل,كلية الزراعة,أستاذ,lkhrfyfyf@example.com
I0128,طاهر,آل سعود,كلية الزراعة,محاضر,rstm30@example.com
I0129,يانع,الخرافي,كلية الزراعة,أستاذ مساعد,shrbtlyfhmy@example.org
I0130,قائد,آل رفيع,كلية الزراعة,أستاذ,zglwlal-mqt@example.org
I0131,ايمان,آل عايض,كلية الصيدلة,محاضر,al-tfmuslh@example.com
I0132,محمّد,آل صفوان,كلية الزراعة,أستاذ مساعد,dlhkyr@example.net
I0133,سلطان,آل بن لافي,كلية الزراعة,أستاذ مساعد,zmhn@example.net
I0134,صبيح,آل صفوان,كلية الهندسة,أستاذ,hykllrshd@example.org
I0135,عاقل,آل معيض,كلية التربية,محاضر,shwn38@example.org
I0136,شكري,آل مقطة,كلية الصيدلة,أستاذ,snmal-qsyr@example.org
I0137,هادي,آل قصير,كلية الهندسة,محاضر,mjhdljln@example.net
I0138,نديم,الدباغ,كلية التربية,محاضر,lkhrfyfrzdq@example.com
I0139,طيّع,المهيدب,كلية الزراعة,أستاذ مساعد,al-hsynmshrq@example.com
I0140,ميلاء,آل سلطان,كلية الصيدلة,أستاذ مساعد,sbyh74@example.org
I0141,مسرور,آل بن لافي,كلية الصيدلة,أستاذ,zhr73@example.com
I0142,ميرا,كانو,كلية الصيدلة,محاضر,aal-swd@example.com
I0143,مُرضي,المغاولة,كلية الصيدلة,أستاذ,al-mhmd-bn-ly-bn-jmzmtw@example.org
I0144,زيدان,آل صفوان,كلية الصيدلة,أستاذ,khldwnal-sfwn@example.com
I0145,مُنذر,آل صفوان,كلية الصيدلة,أستاذ مساعد,nbrs21@example.org
I0146,غطفان,المهيدب,كلية الهندسة,أستاذ,lwyal-rfy@example.net
I0147,سديم,الحجار,كلية الصيدلة,أستاذ مساعد,jsm40@example.org
I0148,بيلسان,آل قصير,كلية الهندسة,محاضر,ymmal-sltn@example.com
I0149,عدنان,مهنا,كلية الصيدلة,أستاذ مساعد,slmshwl@example.com
I0150,تاج الدّين,العليان,كلية التربية,محاضر,lyth65@example.org
I0151,جمال الدّين,العليان,كلية الهندسة,محاضر,lal-bn-zfr@example.com
I0152,وليف,أبا الخيل,كلية الزراعة,أستاذ مساعد,ywsf97@example.net
I0153,حنفي,حنبولي,كلية الصيدلة,أستاذ مساعد,al-mydrzy@example.com
I0154,غامد,الجفالي,كلية الهندسة,محاضر,bd-ljbwrljfly@example.org
I0155,فدائي,آل علي,كلية التربية,أستاذ,mdhthjr@example.com
I0156,نجوان,أبو داوود,كلية الصيدلة,محاضر,rwblqyl@example.com
I0157,لبيد,آل العسكري,كلية الصيدلة,أستاذ,zhr27@example.org
I0158,عمّار,الجفالي,كلية الهندسة,أستاذ,lmshwlmsbh@example.org
I0159,معين,آل سلطان,كلية الصيدلة,أستاذ,jsmal-bn-lfy@example.org
I0160,سلمان,المهنا,كلية الزراعة,أستاذ مساعد,kmlbqshn@example.com
I0161,روبين,آل بن ظافر,كلية الزراعة,أستاذ,thqbhnbwly@example.net
I0162,شادي,فصيل,كلية الصيدلة,أستاذ,thsynal-yd@example.org
I0163,بتلاء,آل العسكري,كلية الهندسة,أستاذ,tydlkhrfy@example.net
I0164,رابح,العقيل,كلية الزراعة,أستاذ,jal-bn-lfy@example.org
I0165,سديم,آل سعود,كلية الزراعة,أستاذ,dhmnlmhydb@example.net
I0166,طيّب,العجلان,كلية الزراعة,أستاذ مساعد,sbr93@example.com
I0167,روحي,الخرافي,كلية الصيدلة,محاضر,al-hsynnjwn@example.org
I0168,ذكي,آل عواض,كلية الصيدلة,أستاذ,fkryljbr@example.net
I0169,علّام,بن لادن,كلية الهندسة,أستاذ,qbs48@example.com
I0170,شيّق,الحجار,كلية الهندسة,أستاذ مساعد,aal-yd@example.net
I0171,علم الدّين,الجفالي,كلية التربية,محاضر,qb-lkhyl@example.net
I0172,مصطفى,الدباغ,كلية الصيدلة,أستاذ,yal-yd@example.net
I0173,نصري,آل علي,كلية الزراعة,أستاذ,cal-ly@example.net
I0174,ابتكار,الجابر,كلية التربية,أستاذ مساعد,al-khdyrlyn@example.org
I0175,رسمي,آل بن لافي,كلية التربية,محاضر,ibqshn@example.net
I0176,دانة,بقشان,كلية الهندسة,أستاذ,sjbn-ldn@example.com
I0177,كايد,الشايع,كلية الصيدلة,أستاذ,al-tfmwns@example.org
I0178,جلنار,الجابر,كلية الزراعة,أستاذ مساعد,frdws96@example.org
I0179,حاتم,بقشان,كلية الهندسة,أستاذ,al-ydmhjwb@example.org
I0180,مظهر,فصيل,كلية التربية,محاضر,rywn82@example.org
I0181,فداء,بن لادن,كلية الزراعة,أستاذ مساعد,bd45@example.com
I0182,تولين,الراشد,كلية الهندسة,محاضر,llynltfy@example.org
I0183,زاهر,آل بن ظافر,كلية الزراعة,أستاذ مساعد,yr03@example.net
I0184,لورين,آل قصير,كلية الزراعة,أستاذ مساعد,al-jfrbd-lmwl@example.net
I0185,عبد التّواب,بقشان,كلية التربية,محاضر,btkrljfly@example.net
I0186,رمضان,الشايع,كلية الصيدلة,أستاذ مساعد,rjylhkyr@example.net
I0187,ميثاق,الجابر,كلية الزراعة,أستاذ,bal-wd@example.org
I0188,بيلسان,الشايع,كلية الهندسة,محاضر,sal-hsyn@example.com
I0189,فارس,شربتلي,كلية الصيدلة,أستاذ,al-swdbd-lhlym@example.org
I0190,يوسف,آل العسكري,كلية الصيدلة,أستاذ,dhmn75@example.com
I0191,فاروق,الراشد,كلية الزراعة,محاضر,vlhjr@example.com
I0192,طامح,الحكير,كلية الزراعة,محاضر,yal-sfwn@example.com
I0193,عزاز,آل خضير,كلية الصيدلة,أستاذ مساعد,qylfsyl@example.org
I0194,مياس,آل العسكري,كلية الزراعة,محاضر,nwllrshd@example.net
I0195,مدحت,الخرافي,كلية الزراعة,محاضر,abqshn@example.net
I0196,معمّر,آل صفوان,كلية التربية,محاضر,mlmgwl@example.org
I0197,كمال,آل بن ظافر,كلية الصيدلة,محاضر,tmh87@example.com
I0198,عبد الحقّ,العجلان,كلية الزراعة,أستاذ,mhmwd51@example.net
I0199,جليل,شربتلي,كلية التربية,محاضر,dwwb85@example.org
I0200,قصي,آل الشيخ,كلية الزراعة,أستاذ,ilmshwl@example.org
I0201,عدوي,كانو,كلية الهندسة,أستاذ مساعد,nmlqyl@example.org
I0202,جوانا,آل جعفر,كلية الصيدلة,أستاذ,zlkhrfy@example.net
I0203,يانع,آل حسين,كلية التربية,أستاذ مساعد,lkhrfysmy@example.net
I0204,عبد الجبّار,أبو داوود,كلية الصيدلة,محاضر,smral-myd@example.net
I0205,محيي الدّين,المهنا,كلية الهندسة,أستاذ,hd61@example.net
I0206,كنان,فصيل,كلية الصيدلة,أستاذ,lfyfhnbwly@example.net
I0207,عبد السّلام,آل العسكري,كلية الزراعة,أستاذ مساعد,ljbrhlly@example.com
I0208,عالم,آل سلطان,كلية الهندسة,محاضر,qsybw-dwwd@example.org
I0209,غزير,بقشان,كلية الصيدلة,أستاذ مساعد,ltwf90@example.org
I0210,زايد,الجفالي,كلية الهندسة,محاضر,tal-hsyn@example.org
I0211,رئيس,آل عواض,كلية الزراعة,أستاذ,fbqshn@example.com
I0212,يزيد,آل جعفر,كلية الهندسة,أستاذ,mursyhjr@example.net
I0213,طائع,الجابر,كلية الزراعة,أستاذ مساعد,fr95@example.com
I0214,طلعت,المشاولة,كلية الصيدلة,محاضر,nfdh31@example.org
I0215,ودود,آل خضير,كلية الهندسة,أستاذ مساعد,shkyblmhydb@example.com
I0216,أحمد,آل سعود,كلية الهندسة,محاضر,mnlrshd@example.net
I0217,هيمان,آل عواض,كلية الزراعة,أستاذ,lfyf19@example.com
I0218,إباء,حنبولي,كلية الصيدلة,أستاذ مساعد,eldbg@example.com
I0219,راجي,آل عطفة,كلية الصيدلة,أستاذ مساعد,lmgwlslf@example.org
I0220,ضاحك,آل قصير,كلية الزراعة,أستاذ مساعد,lmgwlhkym@example.net
I0221,علم الدّين,شربتلي,كلية الزراعة,محاضر,cal-lshykh@example.net
I0222,نبيل,المهيدب,كلية الهندسة,أستاذ,hjrryf@example.com
I0223,ريتاج,المغاولة,كلية الهندسة,محاضر,hmwd25@example.com
I0224,ضياء الدّين,الدباغ,كلية الزراعة,أستاذ,mrwn93@example.com
I0225,إلينا,آل بن لافي,كلية الصيدلة,أستاذ مساعد,tlrshd@example.com
I0226,إخلاص,الحجار,كلية الصيدلة,محاضر,lmshwlmutywm@example.org
I0227,قائد,آل مقطة,كلية التربية,أستاذ مساعد,bd-lhywldbg@example.org
I0228,أفراح,فصيل,كلية الصيدلة,أستاذ مساعد,nal-sfwn@example.com
I0229,عبد الرّحمن,آل عايض,كلية الهندسة,أستاذ مساعد,bd-lqdr69@example.com
I0230,زغلول,آل علي,كلية الصيدلة,أستاذ مساعد,khtybal-sfwn@example.com
I0231,غازي,المشاولة,كلية الهندسة,أستاذ مساعد,yqwtal-mhmd-bn-ly-bn-jmz@example.org
I0232,مشرف,آل حسين,كلية الزراعة,أستاذ مساعد,rwyljbr@example.com
I0233,فارع,فصيل,كلية الزراعة,أستاذ,dhkbw-dwwd@example.org
I0234,أحلام,الحكير,كلية الزراعة,أستاذ مساعد,zyn04@example.net
I0235,بارعة,آل معيض,كلية الهندسة,أستاذ,fal-yd@example.com
I0236,جرير,الحكير,كلية الزراعة,محاضر,smlkhrfy@example.net
I0237,صادح,أبو داوود,كلية الصيدلة,أستاذ,dhy40@example.org
I0238,ناصر الدّين,المهيدب,كلية الزراعة,أستاذ,hrthmhn@example.org
I0239,بشرى,آل العسكري,كلية الزراعة,أستاذ مساعد,jbrfsyl@example.com
I0240,عبد اللطيف,آل مقطة,كلية الصيدلة,محاضر,lqylmusf@example.org
I0241,اصيل,الخرافي,كلية الصيدلة,أستاذ,yljln@example.com
I0242,مؤنس,شربتلي,كلية الزراعة,أستاذ مساعد,al-rfyhymn@example.com
I0243,أروى,آل العسكري,كلية الصيدلة,أستاذ,knnshrbtly@example.net
I0244,عربي,آل جعفر,كلية الزراعة,أستاذ,trfal-tf@example.com
I0245,عصمت,آل خضير,كلية التربية,أستاذ,kml34@example.org
I0246,بتول,الحجار,كلية الصيدلة,أستاذ مساعد,olhkyr@example.com
I0247,نافذ,الشايع,كلية الصيدلة,محاضر,dhyb35@example.com
I0248,مسرور,الدباغ,كلية التربية,أستاذ مساعد,ljlnnbyl@example.org
I0249,زكريا,مهنا,كلية الصيدلة,محاضر,zfr72@example.org
I0250,قاسم,العقيل,كلية التربية,أستاذ مساعد,al-khdyrftyn@example.com
I0251,فهمي,الجابر,كلية الهندسة,محاضر,njy91@example.org
I0252,وفائي,المغاولة,كلية الهندسة,أستاذ,al-qsyrbd-lqhwr@example.org
I0253,عبد العزيز,فصيل,كلية الزراعة,محاضر,bd-lshwkwr79@example.com
I0254,شبيب,العقيل,كلية الصيدلة,أستاذ مساعد,glmhydb@example.net
I0255,خميس,آل عايض,كلية الهندسة,محاضر,lmhydbshryf@example.org
I0256,نظمي,مهنا,كلية الصيدلة,أستاذ مساعد,nlmhn@example.net
I0257,مصباح,آل الشيخ,كلية الزراعة,محاضر,hmydljbr@example.org
I0258,ضيائي,بن لادن,كلية الهندسة,أستاذ مساعد,nal-sltn@example.com
I0259,مرادي,آل بن لافي,كلية الصيدلة,أستاذ,knwrjb@example.com
I0260,نعيم,أبو داوود,كلية الزراعة,أستاذ مساعد,qtbal-sltn@example.org
I0261,عبد الإله,آل عايض,كلية الزراعة,أستاذ مساعد,ljbrryj@example.net
I0262,تمّام,الحكير,كلية الزراعة,محاضر,hal-khdyr@example.com
I0263,ناعم,آل رفيع,كلية الصيدلة,محاضر,al-mhmd-bn-ly-bn-jmzmrym@example.net
I0264,عزيز,المهيدب,كلية الهندسة,أستاذ مساعد,njylhjr@example.org
I0265,ألين,آل سلطان,كلية الزراعة,أستاذ,dylshy@example.org
I0266,ماذى,الراشد,كلية الزراعة,أستاذ,mbqshn@example.org
I0267,سائد,العجلان,كلية الزراعة,أستاذ مساعد,lmhydbhn@example.com
I0268,مُرسي,آل صفوان,كلية الهندسة,أستاذ مساعد,eb-lkhyl@example.org
I0269,نمر,آل مقطة,كلية التربية,محاضر,tqy83@example.com
I0270,شجاع,شربتلي,كلية الزراعة,أستاذ,bw-dwwdfwd@example.org
I0271,تقي,آل صفوان,كلية الصيدلة,أستاذ,hydral-rfy@example.com
I0272,حمزة,آل جعفر,كلية الهندسة,أستاذ مساعد,hmdshrbtly@example.net
I0273,ديمه,بقشان,كلية الهندسة,أستاذ,slmllyn@example.com
I0274,عاتب,أبو داوود,كلية الهندسة,محاضر,oal-rfy@example.com
I0275,جرّاح,آل بن لافي,كلية الهندسة,أستاذ مساعد,al-sfwnqhtn@example.com
I0276,عائد,آل عطفة,كلية الهندسة,أستاذ,thmrb-lkhyl@example.com
I0277,خالد,بن لادن,كلية الزراعة,محاضر,hnblljln@example.net
I0278,جواهر,المشاولة,كلية الصيدلة,أستاذ,ljflynshw@example.org
I0279,منصور,آل بن ظافر,كلية التربية,محاضر,lhkyrngm@example.com
I0280,لوجين,الشايع,كلية الهندسة,أستاذ,al-swddwy@example.org
I0281,صعب,بقشان,كلية الصيدلة,أستاذ مساعد,mrshd17@example.com
I0282,عاتب,الحكير,كلية التربية,محاضر,bqshnst@example.net
I0283,فوزي,العقيل,كلية الصيدلة,أستاذ,hnbwlybsm@example.com
I0284,محفوظ,حنبولي,كلية الصيدلة,أستاذ,wlmhn@example.net
I0285,زهدي,الحكير,كلية الزراعة,محاضر,krm57@example.net
I0286,توفيق,العليان,كلية الصيدلة,أستاذ,blmshwl@example.com
I0287,منصور,الجابر,كلية الصيدلة,أستاذ,ral-sfwn@example.net
I0288,صلاح,آل عطفة,كلية الزراعة,محاضر,lshyrmz@example.com
I0289,فؤاد,آل بن لافي,كلية التربية,محاضر,bwsal-bn-zfr@example.org
I0290,عبد القادر,الجابر,كلية الصيدلة,أستاذ مساعد,mhmwd52@example.net
I0291,ليث,آل بن ظافر,كلية الزراعة,أستاذ مساعد,yljbr@example.net
I0292,عاتب,حنبولي,كلية الصيدلة,أستاذ مساعد,pal-wd@example.net
I0293,ميرا,مهنا,كلية الصيدلة,أستاذ,hjrmurdy@example.net
I0294,لطوف,مهنا,كلية الصيدلة,محاضر,zyd37@example.org
I0295,شهير,أبا الخيل,كلية الزراعة,أستاذ,dyal-hsyn@example.org
I0296,سفيان,آل عطفة,كلية الزراعة,أستاذ مساعد,bw-dwwdyr@example.net
I0297,جالا,العقيل,كلية الصيدلة,محاضر,mutzal-qsyr@example.net
I0298,صارم,الحجار,كلية الزراعة,أستاذ مساعد,rwlrshd@example.org
I0299,وفيق,العقيل,كلية الصيدلة,أستاذ,shhbal-qsyr@example.net
I0300,مُعتز,الدباغ,كلية الزراعة,محاضر,bd-ltwwbb-lkhyl@example.net
I0301,عزمي,العقيل,كلية الصيدلة,محاضر,ljlnfkhr@example.com
I0302,نافذ,حنبولي,كلية الصيدلة,محاضر,lhkyrshdn@example.net
I0303,عبد الملك,الحكير,كلية الصيدلة,أستاذ مساعد,hljln@example.com
I0304,ميرال,آل عواض,كلية الصيدلة,أستاذ,nknw@example.com
I0305,صهيب,آل حسين,كلية الهندسة,أستاذ مساعد,hmdnbw-dwwd@example.com
I0306,مفيد,آل حسين,كلية الصيدلة,أستاذ,elshy@example.com
I0307,حفيظ,كانو,كلية الزراعة,محاضر,ral-yd@example.org
I0308,مُسعف,فصيل,كلية التربية,أستاذ مساعد,b-lkhylmrd@example.org
I0309,زغلول,آل جعفر,كلية الزراعة,أستاذ,ishrbtly@example.org
I0310,مصطفى,الجابر,كلية الهندسة,محاضر,lmhydbrfyq@example.com
I0311,نزيه,بقشان,كلية الصيدلة,محاضر,dhmnljfly@example.net
I0312,مُرسي,العقيل,كلية الصيدلة,أستاذ مساعد,dlmhydb@example.org
I0313,عرفات,آل بن لافي,كلية الزراعة,محاضر,thqyf19@example.net
I0314,فلاح,آل مقطة,كلية الصيدلة,أستاذ مساعد,rzy70@example.net
I0315,محفوظ,آل خضير,كلية الصيدلة,أستاذ مساعد,klhkyr@example.com
I0316,صبيح,حجار,كلية الصيدلة,محاضر,mhnmunjd@example.net
I0317,رضوان,الجابر,كلية الهندسة,محاضر,qal-jfr@example.com
I0318,فكري,المغاولة,كلية الصيدلة,محاضر,lrlhjr@example.net
I0319,خالدي,أبو داوود,كلية الصيدلة,محاضر,mhnslymn@example.net
I0320,هلال,آل عواض,كلية الصيدلة,أستاذ مساعد,shybknw@example.net
I0321,عبد المولى,الحجار,كلية الهندسة,أستاذ,zljbr@example.net
I0322,رخاء,آل محمد بن علي بن جماز,كلية الزراعة,أستاذ,hndfsyl@example.net
I0323,يونس,آل حسين,كلية الصيدلة,أستاذ مساعد,rjh68@example.com
I0324,ذريع,آل الشيخ,كلية الزراعة,أستاذ,tmymfsyl@example.org
I0325,صائب,شربتلي,كلية الهندسة,أستاذ,lwly44@example.org
