StudentID,FirstName,LastName,DateOfBirth,Major,Address,Phone
20250063,هادي,آل عطفة,2000-02-08,كلية الزراعة,القبة,0913881365
20250064,وحيد,الخرافي,2002-02-12,كلية الزراعة,طرابلس,0914848392
20250065,لورا,آل قصير,2006-01-02,كلية الزراعة,القبة,0912226357
20250066,مرتقي,آل العسكري,2006-07-02,كلية الزراعة,بنغازي,0924036728
20250067,قاصد,المغاولة,2004-10-16,كلية الزراعة,المرج,0923458750
20250068,نضال,المهنا,2000-10-27,كلية الصيدلة,بنغازي,0926023300
20250069,عرفه,آل قصير,2006-02-15,كلية الزراعة,طرابلس,0915488339
20250070,هيكل,بقشان,2004-02-25,كلية الصيدلة,طرابلس,0916959308
20250071,قنوع,العقيل,2007-07-27,كلية الهندسة,بنغازي,0914701742
20250072,مُتعب,حنبولي,2002-02-02,كلية الزراعة,البيضاء,0918434031
20250073,غالي,آل العسكري,2003-01-02,كلية التربية,القبة,0911670916
20250074,عبد الحيّ,المغاولة,2007-01-16,كلية التربية,بنغازي,0925870853
20250075,نبراس,الخرافي,2003-09-06,كلية التربية,القبة,0929626771
20250076,عبد القادر,حجار,2006-01-27,كلية الصيدلة,القبة,0924346145
20250077,عزّ الدّين,آل العسكري,2004-04-09,كلية الزراعة,بنغازي,0924300014
20250078,نوّار,آل عواض,2006-12-10,كلية الزراعة,المرج,0922784403
20250079,عبد الكريم,آل عايض,2006-12-22,كلية التربية,طرابلس,0925755062
20250080,مريم,الحجار,2002-09-09,كلية الصيدلة,طرابلس,0923775180
20250081,عطاء,العقيل,2003-07-01,كلية الصيدلة,بنغازي,0927220102
20250082,يمام,آل العسكري,2004-02-26,كلية الصيدلة,بنغازي,0917742176
20250083,عبد السّميع,آل عطفة,2005-09-15,كلية الهندسة,طرابلس,0913667795
20250084,نادي,آل علي,2007-12-19,كلية الصيدلة,القبة,0913700219
20250085,عبدالرّحمن,آل عواض,2007-02-24,كلية التربية,طرابلس,0916301231
20250086,مرادي,المغاولة,1999-12-15,كلية الهندسة,بنغازي,0921548775
20250087,جاد,بن لادن,2005-06-25,كلية الزراعة,المرج,0916518627
20250088,فارع,آل سعود,2003-03-06,كلية التربية,البيضاء,0924025721
20250089,نوّاف,مهنا,2004-05-09,كلية الزراعة,بنغازي,0926193597
20250090,جاد,الجابر,2000-02-21,كلية الهندسة,بنغازي,0911995132
20250091,ضياء,المهيدب,2008-03-13,كلية الصيدلة,بنغازي,0924820063
20250092,نافع,الراشد,2005-04-11,كلية الهندسة,بنغازي,0923897055
20250093,سفيان,بقشان,2004-03-17,كلية الصيدلة,المرج,0929236772
20250094,ضياء الدّين,آل مقطة,2007-03-12,كلية الصيدلة,المرج,0918610701
20250095,فدائي,فصيل,2000-01-11,كلية الصيدلة,البيضاء,0922802017
20250096,جليل,آل مقطة,2002-01-02,كلية التربية,طرابلس,0911605887
20250097,أسيل,الجابر,2004-09-26,كلية الزراعة,القبة,0917675767
20250098,فراس,الدباغ,2005-01-29,كلية الصيدلة,طرابلس,0916410102
20250099,قطز,آل حسين,2001-09-05,كلية التربية,البيضاء,0913001365
20250100,عاكف,آل بن لافي,2000-01-09,كلية الصيدلة,البيضاء,0912155539
20250101,صبحي,بن لادن,2005-09-01,كلية الصيدلة,القبة,0927462282
20250102,أريج,المهيدب,2005-03-24,كلية التربية,طرابلس,0912859069
20250103,ضيائي,آل جعفر,2003-11-16,كلية الصيدلة,البيضاء,0913284809
20250104,دريد,الحجار,2005-05-17,كلية الزراعة,طرابلس,0917606378
20250105,عاصم,آل جعفر,2003-02-21,كلية الزراعة,البيضاء,0925129207
20250106,عقيل,أبا الخيل,2007-07-04,كلية الهندسة,طرابلس,0913035140
20250107,سلمان,آل رفيع,2004-05-30,كلية الزراعة,طرابلس,0922542594
20250108,ناجي,العجلان,2000-07-14,كلية الصيدلة,المرج,0915506852
20250109,مقدام,الشايع,2001-09-10,كلية الصيدلة,المرج,0919643870
20250110,طبّاع,آل العسكري,2007-08-30,كلية الزراعة,المرج,0913028964
20250111,لهفان,المشاولة,2000-05-09,كلية التربية,طرابلس,0917638382
20250112,عاطف,آل عايض,2004-05-29,كلية الصيدلة,المرج,0927048930
20250113,مرسال,آل سلطان,2008-03-05,كلية الزراعة,المرج,0921932322
20250114,حيّان,الجابر,2005-02-07,كلية الزراعة,القبة,0913911398
20250115,راسم,بن لادن,2006-05-17,كلية الصيدلة,البيضاء,0929325861
20250116,شبيب,الدباغ,2000-04-02,كلية التربية,المرج,0925747094
20250117,جمال,الراشد,1999-08-18,كلية الصيدلة,البيضاء,0921741376
20250118,صقر,آل عطفة,2002-03-12,كلية الصيدلة,بنغازي,0918276085
20250119,رحيب,فصيل,1999-04-25,كلية الزراعة,البيضاء,0924121685
20250120,شادن,آل بن ظافر,2007-09-12,كلية الزراعة,بنغازي,0922366362
20250121,صبري,حجار,2007-11-24,كلية الصيدلة,طرابلس,0925577371
20250122,نائل,فصيل,2004-08-10,كلية الزراعة,القبة,0915101618
20250123,راسم,الجفالي,2007-11-28,كلية الصيدلة,القبة,0918452572
20250124,حنبل,العجلان,2006-07-21,كلية التربية,المرج,0912161767
20250125,كنعان,كانو,2004-03-28,كلية الصيدلة,البيضاء,0914516799
20250126,شهم,المهنا,2000-06-24,كلية الزراعة,البيضاء,0913878216
20250127,ثاقب,الحجار,2000-02-04,كلية الصيدلة,المرج,0914168437
20250128,جمان,آل مقطة,2002-04-27,كلية الزراعة,البيضاء,0927786516
20250129,حنبل,آل جعفر,2003-03-17,كلية الهندسة,البيضاء,0911294362
20250130,نسيب,آل علي,2003-01-10,كلية الصيدلة,القبة,0915746613
20250131,ألين,العقيل,2005-08-25,كلية الهندسة,بنغازي,0915897694
20250132,مروان,آل علي,1999-11-26,كلية الزراعة,البيضاء,0912621877
20250133,تقي,الحكير,1999-06-07,كلية الصيدلة,البيضاء,0918322965
20250134,سفيان,آل بن ظافر,2006-12-28,كلية الصيدلة,المرج,0928626348
20250135,حارث,كانو,2005-07-10,كلية التربية,البيضاء,0912528633
20250136,خاطر,بن لادن,2007-03-27,كلية التربية,بنغازي,0913752992
20250137,فداء,آل خضير,2001-06-21,كلية الصيدلة,طرابلس,0917822743
20250138,لورين,آل عايض,2006-04-10,كلية الصيدلة,البيضاء,0928609107
20250139,طائل,آل عايض,2002-03-06,كلية الزراعة,البيضاء,0925934101
20250140,قبس,آل محمد بن علي بن جماز,2002-12-14,كلية الصيدلة,المرج,0922591094
20250141,بلماء,الجفالي,2006-01-16,كلية الزراعة,طرابلس,0923356908
20250142,مشفق,الخرافي,2007-12-16,كلية التربية,المرج,0921393753
20250143,بدرالدّجى,آل علي,1999-05-02,كلية الهندسة,بنغازي,0918715479
20250144,لاما,الحكير,2005-07-28,كلية الزراعة,البيضاء,0916581129
20250145,صلاح الدّين,بن لادن,2005-03-22,كلية الصيدلة,القبة,0912466489
20250146,سمير,آل سعود,2000-02-03,كلية التربية,القبة,0919060621
20250147,عمر,الحجار,2005-11-30,كلية الهندسة,البيضاء,0917196540
20250148,نوري,آل مقطة,2006-02-27,كلية الزراعة,القبة,0928372517
20250149,سجا,أبا الخيل,2006-11-25,كلية الهندسة,البيضاء,0914384400
20250150,عبد الرّؤوف,آل علي,2003-09-03,كلية الصيدلة,بنغازي,0918096566
20250151,مرزوق,آل عواض,1999-04-10,كلية الصيدلة,طرابلس,0914686688
20250152,نشوان,آل الشيخ,2001-04-02,كلية الصيدلة,القبة,0923214194
20250153,صابر,آل بن لافي,2007-04-18,كلية الزراعة,بنغازي,0911672391
20250154,شعلان,حجار,2008-01-13,كلية الصيدلة,المرج,0926266806
20250155,عفيف,شربتلي,1999-04-24,كلية الصيدلة,المرج,0916691107
20250156,فؤاد,آل قصير,2006-12-14,كلية التربية,المرج,0924744378
20250157,طريف,العليان,2000-08-13,كلية التربية,البيضاء,0913185507
20250158,لانا,كانو,2001-09-15,كلية التربية,المرج,0925218138
20250159,قنوع,المهيدب,2000-02-06,كلية الزراعة,بنغازي,0929990198
20250160,نافع,آل علي,2003-12-06,كلية الهندسة,القبة,0926917438
20250161,مراد,شربتلي,2007-07-30,كلية الزراعة,المرج,0911775573
20250162,لؤي,العقيل,2006-01-21,كلية الصيدلة,بنغازي,0921832285
20250163,سلمان,آل جعفر,2002-12-25,كلية الزراعة,بنغازي,0925117560
20250164,مرسال,الجابر,1999-11-05,كلية الزراعة,القبة,0916210785
20250165,نائل,آل علي,2005-07-26,كلية التربية,البيضاء,0927802735
20250166,نصري,آل عواض,2002-04-08,كلية الزراعة,بنغازي,0912061071
20250167,حمدي,آل بن ظافر,2004-08-05,كلية التربية,المرج,0912748714
20250168,سفيان,الجابر,2005-07-29,كلية الزراعة,بنغازي,0928890303
20250169,زيدان,آل العسكري,2001-09-30,كلية الزراعة,القبة,0922962320
20250170,زبير,آل معيض,2001-06-30,كلية الزراعة,البيضاء,0929227663
20250171,فارس,آل مقطة,2001-12-22,كلية الهندسة,طرابلس,0929239221
20250172,رضي,آل مقطة,2000-12-30,كلية الصيدلة,القبة,0918200833
20250173,يعقوب,حجار,2005-10-24,كلية الزراعة,القبة,0914476179
20250174,حيّان,آل محمد بن علي بن جماز,2006-04-01,كلية الزراعة,القبة,0926900329
20250175,هيكل,العجلان,2006-07-30,كلية الصيدلة,بنغازي,0915029146
20250176,حارث,آل عطفة,2002-02-12,كلية الزراعة,القبة,0921547868
20250177,مهنّد,المغاولة,2000-03-30,كلية الزراعة,المرج,0926764086
20250178,عثمان,آل محمد بن علي بن جماز,2003-04-06,كلية الزراعة,طرابلس,0915890179
20250179,خميس,آل الشيخ,2001-01-03,كلية الزراعة,البيضاء,0928533179
20250180,عبد الحقّ,المشاولة,2004-02-24,كلية التربية,بنغازي,0927084741
20250181,عبدالله,آل معيض,2004-12-01,كلية الصيدلة,القبة,0913744228
20250182,يعرب,العجلان,2004-06-07,كلية الصيدلة,بنغازي,0911980585
20250183,عرفه,أبا الخيل,2000-12-11,كلية الزراعة,المرج,0915140177
20250184,ساهر,الجابر,2003-02-23,كلية الهندسة,البيضاء,0911053182
20250185,مرعي,أبا الخيل,2001-04-14,كلية الصيدلة,القبة,0919449718
20250186,مقداد,آل الشيخ,2004-05-23,كلية الصيدلة,البيضاء,0918132996
20250187,ترف,حجار,2004-06-25,كلية الزراعة,البيضاء,0923123154
20250188,مطاوع,آل العسكري,2001-07-18,كلية الصيدلة,القبة,0916974868
20250189,آلاء,العجلان,2001-10-28,كلية الصيدلة,المرج,0917382377
20250190,فيّاض,شربتلي,2007-11-29,كلية الصيدلة,بنغازي,0917686298
20250191,ضاحك,شربتلي,2006-03-14,كلية الصيدلة,بنغازي,0915770157
20250192,خضر,شربتلي,2001-03-07,كلية الزراعة,البيضاء,0928522659
20250193,مُخيمر,آل محمد بن علي بن جماز,2003-10-26,كلية الزراعة,البيضاء,0922667049
20250194,ثاقب,آل بن لافي,2003-03-09,كلية الصيدلة,البيضاء,0917238534
20250195,مُعتز,العقيل,2005-08-08,كلية الصيدلة,بنغازي,0926128210
20250196,مريم,الجابر,2001-01-28,كلية التربية,بنغازي,0929852929
20250197,يافع,الجفالي,2000-05-11,كلية الصيدلة,بنغازي,0925485120
20250198,معن,آل جعفر,2007-08-14,كلية الصيدلة,المرج,0929333637
20250199,شافع,آل حسين,1999-05-11,كلية التربية,البيضاء,0915470926
20250200,ترف,حجار,2001-07-06,كلية الزراعة,البيضاء,0918023797
20250201,سجى,آل سعود,2002-12-02,كلية التربية,بنغازي,0912696700
20250202,حسيب,المغاولة,2004-02-01,كلية الزراعة,القبة,0928019836
20250203,جاسم,الدباغ,2006-03-26,كلية الهندسة,المرج,0929670548
20250204,رفيق,شربتلي,2007-07-19,كلية التربية,بنغازي,0929534593
20250205,جوين,آل بن لافي,2000-03-03,كلية الزراعة,المرج,0924447962
20250206,ريّان,آل عطفة,2003-09-29,كلية الزراعة,المرج,0924118874
20250207,جليل,آل محمد بن علي بن جماز,2007-04-14,كلية الزراعة,القبة,0927562812
20250208,مرزوق,المغاولة,2004-11-17,كلية الصيدلة,طرابلس,0927786194
20250209,رخاء,مهنا,2004-10-06,كلية الهندسة,طرابلس,0922314393
20250210,مدحت,آل حسين,2004-08-29,كلية الصيدلة,المرج,0913258343
20250211,سيّد,آل بن ظافر,2000-04-15,كلية الزراعة,طرابلس,0911231372
20250212,ظبي,آل صفوان,1999-08-17,كلية الصيدلة,طرابلس,0915183825
20250213,جلال الدّين,آل علي,2007-05-23,كلية الزراعة,طرابلس,0918872536
20250214,ماجد,أبا الخيل,2004-06-14,كلية الزراعة,طرابلس,0927829385
20250215,مُتوكّل,الحجار,2006-04-09,كلية الزراعة,بنغازي,0924861693
20250216,رائد,بقشان,2002-06-28,كلية الصيدلة,طرابلس,0917538704
20250217,منتصر,آل قصير,2005-08-28,كلية التربية,البيضاء,0918586020
20250218,سمير,آل مقطة,2003-07-10,كلية الصيدلة,البيضاء,0922919024
20250219,عدوي,بن لادن,2006-11-15,كلية الزراعة,طرابلس,0927764644
20250220,مُتعب,آل مقطة,2008-03-06,كلية التربية,البيضاء,0925721904
20250221,فردوس,الخرافي,2001-02-26,كلية الصيدلة,طرابلس,0927827062
20250222,طلال,آل العسكري,2002-08-12,كلية الصيدلة,البيضاء,0928014441
20250223,كليم,شربتلي,2002-08-12,كلية الهندسة,طرابلس,0915262719
20250224,هايل,آل علي,2003-10-15,كلية التربية,بنغازي,0916432767
20250225,نذير,آل قصير,2005-11-25,كلية الصيدلة,المرج,0917243975
20250226,يونس,المغاولة,2001-06-02,كلية الصيدلة,طرابلس,0916432164
20250227,مصباح,شربتلي,2005-08-15,كلية الصيدلة,طرابلس,0923596129
20250228,كافور,آل جعفر,2006-12-16,كلية الصيدلة,طرابلس,0916206244
20250229,صامد,المهنا,2004-12-13,كلية الزراعة,القبة,0915414905
20250230,عابد,آل صفوان,2005-07-14,كلية الصيدلة,القبة,0921675820
20250231,عاتب,آل بن ظافر,2007-04-16,كلية التربية,المرج,0917389408
20250232,حقّي,آل قصير,2007-07-15,كلية التربية,المرج,0922634073
20250233,مَسعد,آل عايض,2001-03-11,كلية الزراعة,طرابلس,0914490898
20250234,ريّان,آل مقطة,2002-03-11,كلية التربية,بنغازي,0929353094
20250235,شبيب,آل بن ظافر,2002-07-26,كلية الهندسة,طرابلس,0916663360
20250236,وجدي,الجفالي,2003-07-31,كلية الزراعة,بنغازي,0916207707
20250237,أجوان,أبو داوود,2000-05-23,كلية الزراعة,المرج,0916242193
20250238,علاء,فصيل,2005-05-12,كلية الصيدلة,القبة,0916868905
20250239,خافق,مهنا,2002-03-15,كلية الزراعة,القبة,0917282818
20250240,ريمان,الحكير,2000-05-25,كلية الصيدلة,بنغازي,0912251659
20250241,عالم,آل عطفة,2003-04-22,كلية الزراعة,المرج,0918159873
20250242,غزوان,آل قصير,2000-01-15,كلية الهندسة,القبة,0929836845
20250243,رؤوف,المهنا,2004-10-01,كلية الصيدلة,المرج,0926980160
20250244,نسيب,آل صفوان,2005-09-10,كلية الزراعة,المرج,0924930631
20250245,كاملة,بقشان,2003-05-23,كلية التربية,المرج,0927390972
20250246,زاهي,الدباغ,2000-04-20,كلية الصيدلة,المرج,0921669046
20250247,نادر,آل قصير,2001-11-10,كلية الصيدلة,بنغازي,0919868573
20250248,إلينا,الدباغ,2006-11-15,كلية التربية,المرج,0916482619
20250249,زكية,آل رفيع,2007-01-09,كلية الهندسة,طرابلس,0923611711
20250250,كريم,آل خضير,2005-12-22,كلية التربية,القبة,0913587706
20250251,كتوم,الدباغ,2004-05-03,كلية الصيدلة,بنغازي,0917174440
20250252,كايد,آل معيض,2007-03-08,كلية الهندسة,البيضاء,0921303760
20250253,عبد الحيّ,آل مقطة,2002-11-07,كلية التربية,البيضاء,0923601270
20250254,عالم,الجفالي,2003-08-05,كلية الصيدلة,البيضاء,0929845953
20250255,موسى,آل علي,2004-06-01,كلية التربية,القبة,0917628767
20250256,خاشعة,آل محمد بن علي بن جماز,2007-06-10,كلية الصيدلة,البيضاء,0917359298
20250257,بلند,العجلان,2007-11-01,كلية الصيدلة,القبة,0916633405
20250258,جلال,الجابر,2002-03-20,كلية التربية,البيضاء,0927364626
20250259,خليل,الخرافي,2007-02-13,كلية الزراعة,طرابلس,0925546258
20250260,رشاد,آل بن ظافر,2005-01-20,كلية التربية,بنغازي,0923081602
20250261,يوسف,آل صفوان,2007-02-22,كلية التربية,القبة,0922176878
20250262,عصام,آل جعفر,2006-11-17,كلية التربية,المرج,0915620668
20250263,عبد الإله,آل قصير,2002-06-18,كلية الهندسة,طرابلس,0924093376
20250264,سراج,آل خضير,2003-09-13,كلية الهندسة,القبة,0927011201
20250265,طارق,فصيل,2002-05-20,كلية الهندسة,بنغازي,0928632109
20250266,سجا,آل الشيخ,2004-06-25,كلية التربية,القبة,0912644361
20250267,راجح,الشايع,2000-04-18,كلية الزراعة,البيضاء,0915833964
20250268,طارق,المهنا,2007-07-09,كلية الهندسة,طرابلس,0924772634
20250269,أريج,الراشد,2007-11-25,كلية الصيدلة,البيضاء,0911938074
20250270,غانم,أبا الخيل,2002-11-09,كلية الهندسة,البيضاء,0916544539
20250271,مختار,الدباغ,2002-06-10,كلية الهندسة,المرج,0925898378
20250272,عبد الرّحمن,العليان,2005-11-20,كلية التربية,المرج,0916973263
20250273,تاليا,الشايع,2001-09-02,كلية الهندسة,طرابلس,0921432268
20250274,فرزدق,الجابر,2008-02-05,كلية الصيدلة,القبة,0916253421
20250275,شامخ,فصيل,2006-02-12,كلية الصيدلة,القبة,0929180372
20250276,صارم,المهنا,2008-02-03,كلية الزراعة,القبة,0914308224
20250277,عبد الرّحمن,آل محمد بن علي بن جماز,2000-08-26,كلية الهندسة,القبة,0927460082
20250278,ساهر,آل معيض,2005-12-25,كلية الصيدلة,طرابلس,0922434835
20250279,شوقي,آل العسكري,2004-07-07,كلية الصيدلة,المرج,0929267540
20250280,عربي,أبا الخيل,2003-01-09,كلية الصيدلة,طرابلس,0927324803
20250281,كتوم,المهنا,2002-10-21,كلية الهندسة,البيضاء,0924283673
20250282,ترانيم,كانو,2000-09-08,كلية الزراعة,البيضاء,0911546963
20250283,أحمد,آل محمد بن علي بن جماز,2000-04-22,كلية الهندسة,القبة,0922400580
20250284,سنان,آل علي,2000-07-25,كلية الهندسة,المرج,0923451668
20250285,بنفسج,آل العسكري,2002-07-12,كلية التربية,القبة,0928675133
20250286,نشأت,الحكير,2004-01-12,كلية التربية,المرج,0923494087
20250287,رجب,المغاولة,2002-08-26,كلية الهندسة,المرج,0913880312
20250288,شهير,فصيل,2007-11-28,كلية الزراعة,القبة,0922551556
20250289,صنديد,العجلان,2006-05-15,كلية الهندسة,بنغازي,0926271753
20250290,جرّاح,العقيل,2001-08-19,كلية الصيدلة,طرابلس,0917847854
20250291,لتين,آل الشيخ,2001-12-22,كلية الصيدلة,البيضاء,0918588643
20250292,عتيق,الحجار,2002-11-24,كلية التربية,القبة,0929489319
20250293,عمران,بقشان,2001-05-14,كلية الصيدلة,المرج,0928312840
20250294,مأمون,حنبولي,2006-07-26,كلية التربية,بنغازي,0925326481
20250295,بوران,العليان,2006-08-06,كلية الزراعة,المرج,0925525209
20250296,رشاد,آل جعفر,2002-07-07,كلية التربية,القبة,0913313496
20250297,منسي,المهيدب,2005-08-24,كلية الصيدلة,المرج,0929920442
20250298,عمير,آل محمد بن علي بن جماز,2007-06-22,كلية الزراعة,القبة,0928278090
20250299,رهيف,آل عواض,1999-04-11,كلية التربية,القبة,0921830581
20250300,فتحي,آل قصير,2006-07-26,كلية الصيدلة,بنغازي,0914047168
20250301,شفيع,آل بن ظافر,2001-09-02,كلية الزراعة,طرابلس,0919580040
20250302,غامد,آل حسين,1999-10-25,كلية الهندسة,البيضاء,0927072340
20250303,هيا,المهنا,2002-02-15,كلية التربية,القبة,0918275624
20250304,توفيق,آل سعود,1999-10-13,كلية الزراعة,البيضاء,0922123039
20250305,شوقي,آل قصير,2005-03-28,كلية الزراعة,طرابلس,0928313616
20250306,وسام,آل رفيع,2003-10-29,كلية الصيدلة,المرج,0926543908
20250307,مخلص,حجار,2002-05-26,كلية الصيدلة,طرابلس,0911745140
20250308,علم الدّين,آل صفوان,2004-12-03,كلية الزراعة,القبة,0928523862
20250309,صباح,آل عواض,2006-05-10,كلية التربية,القبة,0911146598
20250310,ظبي,آل جعفر,2003-03-27,كلية الزراعة,بنغازي,0929582357
20250311,سرحان,فصيل,2006-08-31,كلية الصيدلة,طرابلس,0921324163
20250312,بشرى,آل خضير,2001-01-14,كلية التربية,بنغازي,0914190560
20250313,شعلان,آل علي,2006-11-05,كلية الصيدلة,المرج,0925158891
20250314,عزمي,العجلان,2007-07-08,كلية التربية,المرج,0922642238
20250315,لطوف,آل صفوان,2003-11-10,كلية الصيدلة,بنغازي,0925280122
20250316,وحيد,العليان,2005-02-09,كلية الهندسة,المرج,0915934520
20250317,معمّر,الجفالي,2001-02-27,كلية التربية,البيضاء,0926990517
20250318,ريمان,آل علي,2002-05-23,كلية الصيدلة,المرج,0928685392
20250319,خافق,آل سلطان,2002-09-21,كلية الزراعة,بنغازي,0928441002
20250320,ألين,حنبولي,2003-08-18,كلية التربية,بنغازي,0919449497
20250321,عمرو,العجلان,2007-04-07,كلية التربية,القبة,0927842031
20250322,وديع,المغاولة,2004-10-09,كلية التربية,طرابلس,0921394574
20250323,هاجر,آل قصير,2006-07-30,كلية الصيدلة,البيضاء,0922320082
20250324,راضي,آل الشيخ,2008-03-25,كلية الصيدلة,طرابلس,0919221461
20250325,ضاحي,آل عايض,2000-08-18,كلية الصيدلة,القبة,0925827915
20250326,سبأ,آل محمد بن علي بن جماز,2001-04-15,كلية الصيدلة,البيضاء,0913483676
20250327,ضحّاك,فصيل,2001-01-02,كلية الصيدلة,القبة,0921567256
20250328,غوى,الجابر,2006-03-19,كلية الزراعة,المرج,0911262550
20250329,خليفة,أبو داوود,2003-07-10,كلية الزراعة,القبة,0915562118
20250330,ظاهر,كانو,2001-01-03,كلية الزراعة,البيضاء,0917068542
20250331,ثائر,كانو,2007-12-03,كلية الهندسة,القبة,0927756233
20250332,منتصر,الشايع,2000-04-09,كلية الصيدلة,القبة,0914722373
20250333,جمال,آل مقطة,2007-10-24,كلية التربية,القبة,0922031573
20250334,عتاب,الحكير,2003-02-07,كلية الزراعة,طرابلس,0929590586
20250335,ضحى,آل سعود,2000-10-28,كلية الهندسة,بنغازي,0915881560
20250336,طاهر,آل سعود,2005-02-05,كلية الصيدلة,طرابلس,0925926875
20250337,هزار,أبو داوود,1999-07-21,كلية الهندسة,بنغازي,0919228863
